video,ATA,F,F1,OTP,OTA,Deviation,PBM,FPS,Ms,fp,tp,fn,g,maxLevel,maxMedianLengthOfDisplacementDifference,pointsInGrid,termCriteria_epsilon,termCriteria_maxCount,winSize,winSizeNCC,my_object
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,356.3545618173878,82.0,0.0,319.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[30, 30]",
TalhQQ9B7vc_0,0.6629128636416115,1.0,0.7907316361185934,0.4560030017275453,1.0,0.707740935999438,0.920161692541989,307.3483933048993,69.0,0.0,332.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[10, 10]",
TalhQQ9B7vc_0,0.6660848158691965,1.0,0.7928036333981239,0.4522235352866136,1.0,0.7456466704236939,0.9314602902132496,128.63403469405114,73.0,0.0,328.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[100, 100]",
TalhQQ9B7vc_0,0.6289323983638905,1.0,0.7636640289450017,0.44950651615887693,1.0,0.718326440826845,0.9198552685122834,7.27112186377953,95.0,0.0,306.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[1000, 1000]",
TalhQQ9B7vc_0,0.0025,0.0025,0.0025,0.0,-1.0,1.0,0.0025,493.0193799029862,1.0,399.0,1.0,399.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[1.0, 1.0]",
TalhQQ9B7vc_0,0.5664043305960926,0.8163265306122449,0.6717587267130292,0.4466423535609073,0.6842105263157895,0.6914811823660283,0.7696646238780228,310.1535804147758,58.0,63.0,280.0,63.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[2.0, 2.0]",
TalhQQ9B7vc_0,0.0025,0.0025,0.0025,0.0,-1.0,1.0,0.0025,407.39574959754617,1.0,399.0,1.0,399.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[0.5, 0.5]",
TalhQQ9B7vc_0,0.6245076796244868,1.0,0.7592346245055565,0.431248032619805,1.0,0.713522301722607,0.9179570767191982,22.383603159670837,101.0,0.0,300.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[500.0, 500.0]",
TalhQQ9B7vc_0,0.6104542529893372,1.0,0.7451084464093014,0.4007796184651791,1.0,0.733645262839402,0.9250693195952018,55.36829903172309,124.0,0.0,277.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[250.0, 250.0]",
TalhQQ9B7vc_0,0.6276130986715445,1.0,0.7617806622409771,0.42989337425846724,1.0,0.6775993116127823,0.9035011092438403,28.570901766668875,96.0,0.0,305.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[400.0, 400.0]",
TalhQQ9B7vc_0,0.6200578196589716,1.0,0.7540013444667047,0.4119492638102166,1.0,0.7074028054402967,0.9173690317585129,32.45902959583604,113.0,0.0,288.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[300, 300]",
TalhQQ9B7vc_0,0.6201028471714111,1.0,0.7547878111872278,0.4207598002653016,1.0,0.7314412840928148,0.9237162732598199,13.439574948117604,109.0,0.0,292.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[600, 600]",
TalhQQ9B7vc_0,0.6449501797162597,1.0,0.7773002234886783,0.4597140617284687,1.0,0.7175205256700934,0.9216018968096341,10.60557809432999,67.0,0.0,334.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[700, 700]",
TalhQQ9B7vc_0,0.6392386827786678,1.0,0.7700471779909652,0.41778527725343206,1.0,0.7272671525967142,0.9281487506757113,88.59903380940777,94.0,0.0,307.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[150, 150]",
TalhQQ9B7vc_0,0.6692278505370776,1.0,0.7958444928072242,0.4639285191733426,1.0,0.6944246362165534,0.9128539429947935,210.1573621900466,67.0,0.0,334.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[50, 50]",
TalhQQ9B7vc_0,0.6392386827786678,1.0,0.7700471779909652,0.41778527725343206,1.0,0.7272671525967142,0.9281487506757113,109.2302385671801,94.0,0.0,307.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[150, 150]",
TalhQQ9B7vc_0,0.6359150916611338,1.0,0.7671708095449284,0.4157600687842438,1.0,0.7672036826664335,0.9356536953454949,108.35195860940823,101.0,0.0,300.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[151, 151]",
TalhQQ9B7vc_0,0.6447643903986201,1.0,0.7749367663722859,0.42397700259650856,1.0,0.7233924621102378,0.9281618252290231,106.53351988629277,86.0,0.0,315.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[152, 152]",
TalhQQ9B7vc_0,0.6493027353548309,1.0,0.7791794788503728,0.4317118719382185,1.0,0.7295798882586754,0.9296000211425305,97.18135160137261,79.0,0.0,322.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[153, 153]",
TalhQQ9B7vc_0,0.6310291620388819,1.0,0.7634888880399181,0.41416961054874857,1.0,0.7197715738681054,0.9235930884398017,111.0907460806774,98.0,0.0,303.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[154, 154]",
TalhQQ9B7vc_0,0.6510729281751857,1.0,0.7806254980542715,0.43895422871604983,1.0,0.746838140108186,0.9314108570457573,95.6341602242832,83.0,0.0,318.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[155, 155]",
TalhQQ9B7vc_0,0.6310515128369796,1.0,0.7634714757460244,0.4132811319044403,1.0,0.7194338990873504,0.9247000811806916,110.61850763341631,97.0,0.0,304.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[156, 156]",
TalhQQ9B7vc_0,0.6257847203743089,1.0,0.7577977706030867,0.39557046946361424,1.0,0.7485207596041842,0.9313601625158561,107.53210334109049,106.0,0.0,295.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[157, 157]",
