my_object,video,ATA,F,F1,OTP,OTA,Deviation,PBM,FPS,Ms,fp,tp,fn,g,maxLevel,maxMedianLengthOfDisplacementDifference,pointsInGrid,termCriteria_epsilon,termCriteria_maxCount,winSize,winSizeNCC
"{'maxLevel': 5, 'maxMedianLengthOfDisplacementDifference': 10.0, 'pointsInGrid': 10, 'termCriteria_epsilon': 0.3, 'termCriteria_maxCount': 20, 'winSize': [0, 0], 'winSizeNCC': [30, 30]}",,,,,,,,,,,,,,,,,,,,,
"{'maxLevel': 5, 'maxMedianLengthOfDisplacementDifference': 10.0, 'pointsInGrid': 10, 'termCriteria_epsilon': 0.3, 'termCriteria_maxCount': 20, 'winSize': [1, 1], 'winSizeNCC': [30, 30]}",,,,,,,,,,,,,,,,,,,,,
"{'maxLevel': 5, 'maxMedianLengthOfDisplacementDifference': 10.0, 'pointsInGrid': 10, 'termCriteria_epsilon': 0.3, 'termCriteria_maxCount': 20, 'winSize': [2, 2], 'winSizeNCC': [30, 30]}",,,,,,,,,,,,,,,,,,,,,
,TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,398.9671221923522,82.0,0.0,319.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6727182008948803,1.0,0.7983459585249322,0.46014837051795027,1.0,0.6991331317488165,0.9102435508317964,416.3792172213957,59.0,0.0,342.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[4, 4]","[30, 30]"
,TalhQQ9B7vc_0,0.6601774409952875,1.0,0.789010073163994,0.46029492254532073,1.0,0.7036593213590675,0.9068575304748494,335.51430384584586,63.0,0.0,338.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[5, 5]","[30, 30]"
,TalhQQ9B7vc_0,0.6577316905596627,1.0,0.786674836455035,0.45920829265230995,1.0,0.6840378476263443,0.9065343660281289,295.2402568271134,76.0,0.0,325.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[6, 6]","[30, 30]"
,TalhQQ9B7vc_0,0.6425950773161944,1.0,0.7737189746822153,0.43097089815887474,1.0,0.6684762115211533,0.898739902662406,273.68909966277056,87.0,0.0,314.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[7, 7]","[30, 30]"
,TalhQQ9B7vc_0,0.6550629266538242,1.0,0.7851497772495195,0.46585660022591296,1.0,0.7034805294081384,0.903649145720377,343.0610145718684,69.0,0.0,332.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[8, 8]","[30, 30]"
,TalhQQ9B7vc_0,0.6295828657416943,1.0,0.7620682893095547,0.41296024119883606,1.0,0.6962954209973198,0.9026313441299387,302.8547660891942,103.0,0.0,298.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[9, 9]","[30, 30]"
