video,ATA,F,F1,OTP,OTA,Deviation,PBM,FPS,Ms,fp,tp,fn,g,maxLevel,maxMedianLengthOfDisplacementDifference,pointsInGrid,termCriteria_epsilon,termCriteria_maxCount,winSize,winSizeNCC
TalhQQ9B7vc_0,0.008004192684034123,0.007537688442211055,0.008491918955576957,0.07959502849055004,-0.9799498746867168,0.8112268050499719,0.012236105728791007,480.40637896067034,3,395,3,395,399,5,0.1,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.0028924916797213518,0.002512562814070352,0.003224264040355442,0.05233222396284689,-0.9899749373433584,0.06708230273482096,0.007048476167566884,407.6013511843394,3,397,1,397,399,5,0.01,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.0028924916797213518,0.002512562814070352,0.003224264040355442,0.05233222396284689,-0.9899749373433584,0.06708230273482096,0.007048476167566884,404.98195722672347,3,397,1,397,399,5,0.001,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.0028924916797213518,0.002512562814070352,0.003224264040355442,0.05233222396284689,-0.9899749373433584,0.06708230273482096,0.007048476167566884,463.42602648456057,3,397,1,397,399,5,0.0,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.0028924916797213518,0.002512562814070352,0.003224264040355442,0.05233222396284689,-0.9899749373433584,0.06708230273482096,0.007048476167566884,467.60652288632025,3,397,1,397,399,5,0.02,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.0030398766117507832,0.0025188916876574307,0.003502623507930958,0.053987661175078264,-0.9849624060150375,-0.06389151452584407,0.00929280205475849,401.9627923494967,4,396,1,396,399,5,0.04,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.0030398766117507832,0.0025188916876574307,0.003502623507930958,0.053987661175078264,-0.9849624060150375,-0.06389151452584407,0.00929280205475849,393.6472279472771,4,396,1,396,399,5,0.06,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.008004192684034123,0.007537688442211055,0.008491918955576957,0.07959502849055004,-0.9799498746867168,0.8112268050499719,0.012236105728791007,472.1082691892537,3,395,3,395,399,5,0.08,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.008004192684034123,0.007537688442211055,0.008491918955576957,0.07959502849055004,-0.9799498746867168,0.8112268050499719,0.012236105728791007,364.15663317443637,3,395,3,395,399,5,0.1,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.008004192684034123,0.007537688442211055,0.008491918955576957,0.07959502849055004,-0.9799498746867168,0.8112268050499719,0.012236105728791007,350.82621600221535,3,395,3,395,399,5,0.12,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.012607016974953563,0.012738853503184712,0.013029641800919138,0.07774656683071984,-0.9423558897243107,0.819238467928066,0.014690174072375592,365.8792988737494,2,394,5,381,399,5,0.14,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.012607016974953563,0.012738853503184712,0.013029641800919138,0.07774656683071984,-0.9423558897243107,0.819238467928066,0.014690174072375592,363.23089360786304,2,394,5,381,399,5,0.16,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.012607016974953563,0.012738853503184712,0.013029641800919138,0.07774656683071984,-0.9423558897243107,0.819238467928066,0.014690174072375592,359.09587289719127,2,394,5,381,399,5,0.18,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.012607016974953563,0.012738853503184712,0.013029641800919138,0.07774656683071984,-0.9423558897243107,0.819238467928066,0.014690174072375592,340.4863997303012,2,394,5,381,399,5,0.2,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.012607016974953563,0.012738853503184712,0.013029641800919138,0.07774656683071984,-0.9423558897243107,0.819238467928066,0.014690174072375592,370.76739595587446,2,394,5,381,399,5,0.22,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.012607016974953563,0.012738853503184712,0.013029641800919138,0.07774656683071984,-0.9423558897243107,0.819238467928066,0.014690174072375592,351.0733749517096,2,394,5,381,399,5,0.24,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.06449040833197124,0.0759493670886076,0.06999413404759613,0.04000384594374103,-0.8295739348370927,-0.43862805655544324,0.08367625361895736,383.627513899627,6,365,30,365,399,5,0.26,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.06449040833197124,0.0759493670886076,0.06999413404759613,0.04000384594374103,-0.8295739348370927,-0.43862805655544324,0.08367625361895736,382.16090451329,6,365,30,365,399,5,0.28,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.06469832717692073,0.07633587786259542,0.07039336980580314,0.04039882670528047,-0.8195488721804511,-0.5971907227508169,0.088502165916266,392.61155973802096,8,363,30,363,399,5,0.3,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.09005622701736081,0.11053984575835475,0.099577658041387,0.04574000822472366,-0.7343358395989974,-0.2540526699395007,0.12612018607645104,362.467435171974,12,346,43,346,399,5,0.32,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.09005622701736081,0.11053984575835475,0.099577658041387,0.04574000822472366,-0.7343358395989974,-0.2540526699395007,0.12612018607645104,319.99469449779997,12,346,43,346,399,5,0.34,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.222091577697663,0.2878787878787879,0.250095052899909,0.05523680976421504,-0.4135338345864661,-0.2803171042317594,0.2821142608032432,338.4344481710843,5,282,114,282,399,5,0.36,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.222091577697663,0.2878787878787879,0.250095052899909,0.05523680976421504,-0.4135338345864661,-0.2803171042317594,0.2821142608032432,354.4457489576208,5,282,114,282,399,5,0.38,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.222091577697663,0.2878787878787879,0.250095052899909,0.05523680976421504,-0.4135338345864661,-0.2803171042317594,0.2821142608032432,339.4775680996959,5,282,114,282,399,5,0.4,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.26558058654034694,0.3704697986577181,0.2999780561812752,0.0025487664500970435,-0.17543859649122817,-1.0,0.38644336888146846,344.7064698281794,28,235,138,234,399,5,0.42,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.30997579130416036,0.4116899618805591,0.35077031645968887,0.0,-0.16040100250626566,1.0,0.39151714012945227,356.7740635041248,1,238,162,225,399,5,0.44,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.30997579130416036,0.4143222506393862,0.35077031645968887,0.0,-0.1478696741854637,1.0,0.39151714012945227,362.94341801635795,1,238,162,220,399,5,0.46,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.3118179579740299,0.41213653603034134,0.3528916557857296,0.0,-0.16541353383458657,1.0,0.3940481578166224,355.04064045182685,1,237,163,228,399,5,0.48,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.3118179579740299,0.41213653603034134,0.3528916557857296,0.0,-0.16541353383458657,1.0,0.3940481578166224,353.38897854851547,1,237,163,228,399,5,0.5,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.3118179579740299,0.41213653603034134,0.3528916557857296,0.0,-0.16541353383458657,1.0,0.3940481578166224,338.47883390483435,1,237,163,228,399,5,0.52,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.3118179579740299,0.41213653603034134,0.3528916557857296,0.0,-0.16541353383458657,1.0,0.3940481578166224,354.8681922867494,1,237,163,228,399,5,0.54,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.3118179579740299,0.41213653603034134,0.3528916557857296,0.0,-0.16541353383458657,1.0,0.3940481578166224,341.9328242647414,1,237,163,228,399,5,0.56,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.3118179579740299,0.41213653603034134,0.3528916557857296,0.0,-0.16541353383458657,1.0,0.3940481578166224,364.3970990069167,1,237,163,228,399,5,0.58,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,340.1852304479039,82,0,319,0,399,5,0.6,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,337.02194533560606,82,0,319,0,399,5,0.62,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,335.20376935597665,82,0,319,0,399,5,0.64,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,315.4882225222585,82,0,319,0,399,5,0.66,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,306.1653529564307,82,0,319,0,399,5,0.68,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,319.40922840160295,82,0,319,0,399,5,0.7,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,326.2768882182698,82,0,319,0,399,5,0.72,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,359.596875012023,82,0,319,0,399,5,0.74,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,355.7838472383015,82,0,319,0,399,5,0.76,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,354.79652725607065,82,0,319,0,399,5,0.78,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,356.7624291824649,82,0,319,0,399,5,0.8,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,357.21758192651754,82,0,319,0,399,5,0.82,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,323.5313995093205,82,0,319,0,399,5,0.84,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,326.8830176629194,82,0,319,0,399,5,0.86,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,356.20988098770323,82,0,319,0,399,5,0.88,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,342.46777920194944,82,0,319,0,399,5,0.9,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,323.96883879338225,82,0,319,0,399,5,0.92,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,319.7040894920634,82,0,319,0,399,5,0.94,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,350.9655735233712,82,0,319,0,399,5,0.96,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,346.1718281472113,82,0,319,0,399,5,0.98,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,346.33020903634156,82,0,319,0,399,5,1.0,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,344.16766344710027,82,0,319,0,399,5,1.02,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,344.2568413790518,82,0,319,0,399,5,1.04,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,316.72148064494706,82,0,319,0,399,5,1.06,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,314.7788508557221,82,0,319,0,399,5,1.08,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,312.7219360758987,82,0,319,0,399,5,1.1,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,321.6894104024006,82,0,319,0,399,5,1.12,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,361.366041715417,82,0,319,0,399,5,1.14,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,367.81568883767955,82,0,319,0,399,5,1.16,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,363.9040156580848,82,0,319,0,399,5,1.18,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,357.95522231713375,82,0,319,0,399,5,1.2,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,328.669952061734,82,0,319,0,399,5,1.22,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,327.45096621571025,82,0,319,0,399,5,1.24,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,324.70297049225553,82,0,319,0,399,5,1.26,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,316.5372124361392,82,0,319,0,399,5,1.28,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,343.53367241034414,82,0,319,0,399,5,1.3,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,361.25538365263395,82,0,319,0,399,5,1.32,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,334.35713667566984,82,0,319,0,399,5,1.34,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,339.6200412798655,82,0,319,0,399,5,1.36,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,321.6350734331961,82,0,319,0,399,5,1.38,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,338.9223531819362,82,0,319,0,399,5,1.4,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,330.03217628959067,82,0,319,0,399,5,1.42,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,322.819362688733,82,0,319,0,399,5,1.44,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,364.368988358103,82,0,319,0,399,5,1.46,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,364.9389919238323,82,0,319,0,399,5,1.48,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,356.0024639861684,82,0,319,0,399,5,1.5,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,358.1486089957771,82,0,319,0,399,5,1.52,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,336.9617253589377,82,0,319,0,399,5,1.54,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,343.4098549986734,82,0,319,0,399,5,1.56,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,345.8005859647798,82,0,319,0,399,5,1.58,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,346.35800114806244,82,0,319,0,399,5,1.6,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,358.33319799467716,82,0,319,0,399,5,1.62,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,374.78511774938926,82,0,319,0,399,5,1.64,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,367.35625773607694,82,0,319,0,399,5,1.66,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,366.49874487725896,82,0,319,0,399,5,1.68,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,322.428023161033,82,0,319,0,399,5,1.7,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,328.7370365173919,82,0,319,0,399,5,1.72,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,334.4921063955849,82,0,319,0,399,5,1.74,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,357.22138241490836,82,0,319,0,399,5,1.76,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,369.2558789542662,82,0,319,0,399,5,1.78,10,0.3,20,"[3, 3]","[30, 30]"
