my_object,video,ATA,F,F1,OTP,OTA,Deviation,PBM,FPS,Ms,fp,tp,fn,g,maxLevel,maxMedianLengthOfDisplacementDifference,pointsInGrid,termCriteria_epsilon,termCriteria_maxCount,winSize,winSizeNCC
"{'maxLevel': 5, 'maxMedianLengthOfDisplacementDifference': 10.0, 'pointsInGrid': 0, 'termCriteria_epsilon': 0.3, 'termCriteria_maxCount': 20, 'winSize': [3, 3], 'winSizeNCC': [30, 30]}",,,,,,,,,,,,,,,,,,,,,
,TalhQQ9B7vc_0,0.1118857096249951,0.5454545454545454,0.17834712252872695,0.08852836399199546,0.949874686716792,0.19881272248081372,0.6646503306278737,707.6088601821498,379.0,10.0,12.0,10.0,399.0,5.0,10.0,1.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.4351543589933043,0.8585858585858586,0.5484730465995475,0.2386574393496004,0.8596491228070176,0.8253053438041131,0.8899292493830022,660.3974498298116,203.0,28.0,170.0,28.0,399.0,5.0,10.0,2.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6151336751127602,0.9968354430379747,0.7424573475038717,0.2988199399847715,0.9949874686716792,0.8751629640828368,0.9608559750820147,790.842965362382,85.0,1.0,315.0,1.0,399.0,5.0,10.0,3.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6229921737846247,1.0,0.7566748631865504,0.4179363652726564,1.0,0.7008835007189953,0.9110622754372096,705.7660786087746,106.0,0.0,295.0,0.0,399.0,5.0,10.0,4.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6380064990851142,1.0,0.7698473528519837,0.4342927303061119,1.0,0.6736716613568688,0.8991834271318375,527.9817269655293,99.0,0.0,302.0,0.0,399.0,5.0,10.0,5.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6684825516754654,1.0,0.7964571298890131,0.4548959188752631,1.0,0.7210909035799142,0.9097328836045842,481.5633012310443,27.0,0.0,374.0,0.0,399.0,5.0,10.0,6.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6538149112491987,1.0,0.783692330509345,0.45049531332606796,1.0,0.6822437799885002,0.9041029956259318,519.5507181668079,77.0,0.0,324.0,0.0,399.0,5.0,10.0,7.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6353850604820033,1.0,0.768656185663576,0.43550069341390857,1.0,0.6612362006761512,0.8937658771191582,459.58971800997244,84.0,0.0,317.0,0.0,399.0,5.0,10.0,8.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6445816338276257,1.0,0.7757795438648278,0.4344802841776543,1.0,0.6629554448196158,0.8993257721491186,354.05610560503743,79.0,0.0,322.0,0.0,399.0,5.0,10.0,9.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,321.14293948690465,82.0,0.0,319.0,0.0,399.0,5.0,10.0,10.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6615109305156166,1.0,0.7904915854527378,0.4629718925120901,1.0,0.7112706090571228,0.914599615421083,277.5278357789796,53.0,0.0,348.0,0.0,399.0,5.0,10.0,11.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6602666041660032,1.0,0.7884498159529073,0.4501167340676628,1.0,0.6788049532519104,0.9062851577551843,266.3705855523654,73.0,0.0,328.0,0.0,399.0,5.0,10.0,12.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6712551037016219,1.0,0.7980492150409729,0.45776252286293106,1.0,0.710171426430795,0.9143918753779731,219.54058311108048,37.0,0.0,364.0,0.0,399.0,5.0,10.0,13.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6605760814055653,1.0,0.7898096081843436,0.46285089449717326,1.0,0.7037257476287408,0.9115027922026744,204.1518465839586,54.0,0.0,347.0,0.0,399.0,5.0,10.0,14.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.654254751467056,1.0,0.784125165070125,0.45326602963669016,1.0,0.6829081688757409,0.9051775446617805,189.5579301193043,75.0,0.0,326.0,0.0,399.0,5.0,10.0,15.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6559954673023867,1.0,0.7857710534532165,0.4581023030327127,1.0,0.6973525468322979,0.9077884399109297,180.5331487187867,70.0,0.0,331.0,0.0,399.0,5.0,10.0,16.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6551668213584315,1.0,0.7852890085761551,0.4598016594853197,1.0,0.6924453961023783,0.9063480147215083,190.938866458135,68.0,0.0,333.0,0.0,399.0,5.0,10.0,17.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6583297997229272,1.0,0.7874010006457124,0.45544460712194795,1.0,0.6903193893543935,0.9062732006509978,179.1710256336504,70.0,0.0,331.0,0.0,399.0,5.0,10.0,18.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6592568102269482,1.0,0.7883240503587235,0.4589548984186609,1.0,0.69629340264674,0.9085451864433144,168.23498197574926,66.0,0.0,335.0,0.0,399.0,5.0,10.0,19.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6546678762220126,1.0,0.7844441981536494,0.452139191001894,1.0,0.6887026702522832,0.9063537301180153,155.18898657350064,75.0,0.0,326.0,0.0,399.0,5.0,10.0,20.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6508031986264146,1.0,0.7815055618482165,0.44848867546248933,1.0,0.6821116563880156,0.9034703795052293,142.71853663617102,71.0,0.0,330.0,0.0,399.0,5.0,10.0,21.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6550292726570137,1.0,0.7849660857528136,0.4564958201986152,1.0,0.6932740892965032,0.9077760163842812,131.09337559495106,71.0,0.0,330.0,0.0,399.0,5.0,10.0,22.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6541244964644751,1.0,0.7842426081936625,0.45818612187675967,1.0,0.6976958633510888,0.9088902508661539,122.25594912007118,75.0,0.0,326.0,0.0,399.0,5.0,10.0,23.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6547010792752779,1.0,0.7846837491503212,0.457714078120129,1.0,0.6914793492151314,0.9064960245690307,111.86868178568439,75.0,0.0,326.0,0.0,399.0,5.0,10.0,24.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6557963882974761,1.0,0.7855891526586214,0.4599043929443255,1.0,0.6930141211728653,0.9073138596896109,113.34524672319219,73.0,0.0,328.0,0.0,399.0,5.0,10.0,25.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6553314560321156,1.0,0.7852595969702176,0.4571002159670795,1.0,0.6956416319532753,0.9090517147661591,106.50331416271429,69.0,0.0,332.0,0.0,399.0,5.0,10.0,26.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6566370905143332,1.0,0.7860870423519205,0.4532573565110645,1.0,0.688039921226355,0.9052819194917529,99.90240023635698,70.0,0.0,331.0,0.0,399.0,5.0,10.0,27.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.653754550148967,1.0,0.7837221205171306,0.4489267963141136,1.0,0.6824540023513976,0.9042691420531626,92.02615596728312,71.0,0.0,330.0,0.0,399.0,5.0,10.0,28.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6541457917729683,1.0,0.7842033273401476,0.4541573683315164,1.0,0.6880602267548677,0.9053331352852904,82.50198378999825,70.0,0.0,331.0,0.0,399.0,5.0,10.0,29.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.655049073031796,1.0,0.7849314868690966,0.45471214645600877,1.0,0.6872629009131005,0.9046442567747925,76.46183040087777,70.0,0.0,331.0,0.0,399.0,5.0,10.0,30.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6507972500932189,1.0,0.7814700413887802,0.4508405090524715,1.0,0.691034475357972,0.9075001907262374,72.8872901664545,75.0,0.0,326.0,0.0,399.0,5.0,10.0,31.0,0.3,20.0,"[3, 3]","[30, 30]"
,TalhQQ9B7vc_0,0.6600262687884374,1.0,0.7889967042274612,0.46076830177889677,1.0,0.695536990883628,0.9086637543249861,66.8715993423459,67.0,0.0,334.0,0.0,399.0,5.0,10.0,32.0,0.3,20.0,"[3, 3]","[30, 30]"
