video,ATA,F,F1,OTP,OTA,Deviation,PBM,FPS,Ms,fp,tp,fn,g,maxLevel,maxMedianLengthOfDisplacementDifference,pointsInGrid,termCriteria_epsilon,termCriteria_maxCount,winSize,winSizeNCC
GceLsS4AwH8_1,0.04093058419932336,0.018348623853211007,0.06964818032863072,0.07374196778502823,0.4880382775119617,0.2796340239671322,0.23429696808653053,367.5723016245676,103,107,1,0,209,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
j93wwDC_a2I_0,0.07365358463981782,0.1320754716981132,0.10571168800588886,0.0855607604860456,0.4237995824634656,-1.0,0.4256124280207781,582.8522738489279,233,227,21,49,479,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
BpXhq5Awd3U_0,0.21956979723221745,0.9583333333333334,0.29144014299081733,0.0712306335046031,0.9771863117870723,-0.9580043417978754,0.6788104094619313,560.6164552944166,193,3,69,3,263,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
EwlCKB77dYo_3,0.621885350249207,1.0,0.7574367871337638,0.45144862797825674,1.0,0.7953348097183461,0.9223023879505832,435.0803153671487,54,0,217,0,269,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
JR0QfXOOmaA_0,0.6379470618895224,0.9736842105263158,0.7508643568784635,0.4026655482754676,0.9646017699115044,0.5031497332691255,0.9141166727679398,398.0982273414527,72,8,148,0,226,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
n0tx4V2rF3I_1,0.08282456442661967,0.10246679316888047,0.10872437469025446,0.14152757741062225,-0.05345211581291753,0.16551151518131302,0.2617992294206332,744.9204561674895,118,306,27,167,449,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
EwlCKB77dYo_4,0.6705458356383682,1.0,0.7960904315950955,0.4139674439738726,1.0,0.7062786040356993,0.940736541448313,398.602312018011,13,0,183,0,194,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
ZlEiOICCDdc_0,0.05908588175415701,0.010033444816053512,0.0903260966253828,0.23429085885986195,-0.5218508997429305,0.5184051234824318,0.20174389349738117,813.3390367407418,89,299,3,293,389,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
f8rXEKktSCg_0,0.045990399783176525,0.04583333333333333,0.05798221692003304,0.27216821422132703,-0.7996070726915521,0.3979787675022797,0.07535733772683509,1036.2734744536356,28,461,22,455,509,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
afU2vHgUvaw_2,0.8119354569925279,1.0,0.8839226985446318,0.373900659934578,1.0,0.45908273547273415,0.9666716473147452,411.59939770856477,38,0,288,0,324,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
ckFwzL1Ot94_0,0.8279549172175421,1.0,0.9035939735696163,0.0,1.0,1.0,0.9795426866466386,508.6975789147274,1,0,408,0,407,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
C3lwMd_rlG0_0,0.5927351516655498,1.0,0.7135769981448358,0.3159804242097866,1.0,0.6611022520581855,0.9176771317759324,505.2766490600566,99,0,142,0,239,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
afU2vHgUvaw_3,0.48704119170587784,1.0,0.635610827621933,0.36946999963623073,1.0,0.6006255822776385,0.8353435423069687,459.3071061290988,284,0,167,0,449,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
hBHt6mnfUeo_0,0.4518894304216985,1.0,0.6084073928539186,0.375770534895381,1.0,0.5532556683545498,0.8560241884017677,570.4539103165456,174,0,60,0,232,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
h-pm7wD31Ss_3,0.175408132932491,0.2580645161290323,0.2787423492434791,0.17261516469178004,0.8293135435992579,0.3536226698250674,0.7312506506871455,652.2648858046053,477,48,16,44,539,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
CWCfCeYh2bA_1,0.7252573470735978,1.0,0.8367435341233039,0.0,1.0,1.0,0.98071473480069,431.62666223446047,1,0,400,0,399,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,448.1318096349538,82,0,319,0,399,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
cH9u1pCWp2U_0,0.5018196412551621,1.0,0.6583122393081204,0.4073257372690871,1.0,0.7274812454034685,0.9261597862759542,539.8019288670556,149,0,122,0,269,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
afU2vHgUvaw_7,0.6905350120882258,1.0,0.8076593908780417,0.44020171259608293,1.0,0.7016821480297228,0.9100000690169952,424.82290938560624,39,0,337,0,374,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
aCNvyXSuG6w_0,0.5983289101121386,1.0,0.7404652979897023,0.44203802172455653,1.0,0.6267252199256734,0.9330394187607898,480.00727399744665,48,0,193,0,239,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
gOWc7VBEwMo_0,0.09739949147689775,0.3053435114503817,0.13460396789165238,0.06641479888910902,0.6417322834645669,0.7018677378145795,0.5980595748013187,511.9468814340694,151,85,20,6,254,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
EmvEUer4CVc_0,0.0500216994452469,0.10526315789473684,0.08718676775371745,0.047895878840166196,0.8482142857142857,-0.1508513019591764,0.695969288845704,751.7460806392205,398,48,4,20,448,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
h-pm7wD31Ss_0,0.21196122210319412,0.9836065573770492,0.3136525448923562,0.14800206482215356,0.9962894248608535,0.13943099605807296,0.6634237798206846,643.788653978178,480,1,60,1,539,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
EwlCKB77dYo_2,0.7564380664114064,1.0,0.8572159138440654,0.0,1.0,1.0,0.9528335037574761,434.3530111566861,1,0,195,0,194,5,100.0,10,0.3,20,"[3, 3]","[30, 30]"
GceLsS4AwH8_1,0.010667182772612459,0.011111111111111112,0.015923414990554136,0.03351644276347613,0.14832535885167464,0.22238459832535584,0.07415445314443454,420.79978740797384,37,173,1,5,209,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
j93wwDC_a2I_0,0.05825481770527039,0.07342657342657344,0.07813365606115015,0.20232659781719195,-0.10647181628392488,0.8069357326824532,0.15414558742480594,574.5996685368174,62,398,21,132,479,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
BpXhq5Awd3U_0,0.23191311049821775,0.7113402061855669,0.3137846615503241,0.1018332153809129,0.7870722433460076,-0.12960230122578054,0.6489542798381948,625.6331960966763,167,29,69,27,263,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
EwlCKB77dYo_3,0.7349578154491675,0.9925925925925926,0.8412262753523387,0.0,0.9851301115241635,1.0,0.9592014338347288,463.45643766585005,1,2,268,2,269,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
JR0QfXOOmaA_0,0.6379470618895224,0.9610389610389611,0.7508643568784635,0.4026655482754676,0.9469026548672567,0.5031497332691255,0.9141166727679398,446.83169295383806,72,8,148,4,226,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
n0tx4V2rF3I_1,0.08282456442661967,0.10246679316888047,0.10872437469025446,0.14152757741062225,-0.05345211581291753,0.16551151518131302,0.2617992294206332,825.052950369652,118,306,27,167,449,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
EwlCKB77dYo_4,0.6705458356383682,1.0,0.7960904315950955,0.4139674439738726,1.0,0.7062786040356993,0.940736541448313,484.02995026498485,13,0,183,0,194,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
ZlEiOICCDdc_0,0.05908588175415701,0.010033444816053512,0.0903260966253828,0.23429085885986195,-0.5218508997429305,0.5184051234824318,0.20174389349738117,872.8109848758992,89,299,3,293,389,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
f8rXEKktSCg_0,0.06064607543901914,0.1452145214521452,0.0842796712485194,0.05570149292500694,0.4911591355599214,-1.0,0.3673707125446269,788.5757976476066,271,218,22,41,509,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
afU2vHgUvaw_2,0.8119354569925279,1.0,0.8839226985446318,0.373900659934578,1.0,0.45908273547273415,0.9666716473147452,447.0578492660168,38,0,288,0,324,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
ckFwzL1Ot94_0,0.8279549172175421,1.0,0.9035939735696163,0.0,1.0,1.0,0.9795426866466386,525.9305975614152,1,0,408,0,407,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
C3lwMd_rlG0_0,0.5927351516655498,1.0,0.7135769981448358,0.3159804242097866,1.0,0.6611022520581855,0.9176771317759324,528.799929575821,99,0,142,0,239,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
afU2vHgUvaw_3,0.48704119170587784,1.0,0.635610827621933,0.36946999963623073,1.0,0.6006255822776385,0.8353435423069687,475.15087322226583,284,0,167,0,449,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
hBHt6mnfUeo_0,0.4518894304216985,1.0,0.6084073928539186,0.375770534895381,1.0,0.5532556683545498,0.8560241884017677,560.6635011103697,174,0,60,0,232,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
h-pm7wD31Ss_3,0.20324919999496563,0.43010752688172044,0.302850232293526,0.1929932858306775,0.8033395176252319,0.638123587750749,0.6680970446617557,510.155090806659,448,53,40,53,539,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
CWCfCeYh2bA_1,0.7252573470735978,1.0,0.8367435341233039,0.0,1.0,1.0,0.98071473480069,443.7590585190081,1,0,400,0,399,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
TalhQQ9B7vc_0,0.6442534386880783,1.0,0.7755241671838538,0.43766716610340134,1.0,0.6740693848293193,0.8984887745358832,443.3136444787686,82,0,319,0,399,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
cH9u1pCWp2U_0,0.3856986003238332,0.8181818181818182,0.5426566865850472,0.3574307715270308,0.9553903345724907,0.654483334514243,0.8744737720360541,547.12913647995,238,6,27,6,269,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
afU2vHgUvaw_7,0.6905350120882258,1.0,0.8076593908780417,0.44020171259608293,1.0,0.7016821480297228,0.9100000690169952,382.08152988735384,39,0,337,0,374,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
aCNvyXSuG6w_0,0.6209218641231673,0.9903846153846154,0.7571356590392266,0.44923221580496125,0.9832635983263598,0.6648797372680944,0.9188027171329111,480.80892252201187,33,2,206,2,239,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
gOWc7VBEwMo_0,0.09739949147689775,0.3007518796992481,0.13460396789165238,0.06641479888910902,0.6338582677165354,0.7018677378145795,0.5980595748013187,529.0765827580532,151,85,20,8,254,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
EmvEUer4CVc_0,0.04166884492657702,0.04907975460122699,0.0711675072183169,0.04612086776958844,0.6540178571428572,0.4718858731971075,0.4493268584562256,580.9665477972533,332,114,4,41,448,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
h-pm7wD31Ss_0,0.21731042388466143,0.8831168831168831,0.31540396399701615,0.14549844178804605,0.9666048237476809,0.08741943218179415,0.6763754292561408,636.6159187124783,464,9,68,9,539,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
EwlCKB77dYo_2,0.7564380664114064,1.0,0.8572159138440654,0.0,1.0,1.0,0.9528335037574761,448.11206566903604,1,0,195,0,194,5,10.0,10,0.3,20,"[3, 3]","[30, 30]"
GceLsS4AwH8_1,0.004862188019141176,0.0049382716049382715,0.004960380877270031,0.00701982800654899,-0.9282296650717703,0.6681658001571026,0.009884318822207461,490.0580836347723,3,207,1,196,209,5,1.0,10,0.3,20,"[3, 3]","[30, 30]"
j93wwDC_a2I_0,0.016606865548093503,0.017021276595744678,0.018018310284855024,0.13541211245506507,-0.92901878914405,0.4033018879720973,0.022717889921124976,981.3500152568678,5,468,8,456,479,5,1.0,10,0.3,20,"[3, 3]","[30, 30]"
BpXhq5Awd3U_0,0.009009351182948688,0.007692307692307693,0.010937248202379853,0.11528096985570349,-0.961977186311787,0.3489482433424549,0.020440627404385434,589.2616718440096,5,258,2,258,263,5,1.0,10,0.3,20,"[3, 3]","[30, 30]"
EwlCKB77dYo_3,0.07889420212651561,0.1173469387755102,0.09212511062848351,0.03696657407533731,-0.2862453531598512,0.08113853438718988,0.2205244384095827,621.2733562789458,63,185,23,161,269,5,1.0,10,0.3,20,"[3, 3]","[30, 30]"
JR0QfXOOmaA_0,0.012828559002318286,0.013215859030837003,0.013017687890813487,0.0,-0.9823008849557522,1.0,0.01320160500426534,519.2189067917154,1,224,3,224,226,5,1.0,10,0.3,20,"[3, 3]","[30, 30]"
n0tx4V2rF3I_1,0.02963186893823227,0.03381642512077295,0.03280523956800961,0.043487665584712766,-0.7817371937639199,0.13238964859325986,0.05643540568256584,930.1784562347898,19,418,14,382,449,5,1.0,10,0.3,20,"[3, 3]","[30, 30]"
EwlCKB77dYo_4,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.0,-1.0,1.0,0.005128205128205128,455.7849708678343,1,194,1,194,194,5,1.0,10,0.3,20,"[3, 3]","[30, 30]"
ZlEiOICCDdc_0,0.007239918276680171,0.009630818619582666,0.008830574020877158,0.2106535607705808,-0.5861182519280206,0.6737463499481544,0.011670152801045108,534.2810318329194,3,385,3,232,389,5,1.0,10,0.3,20,"[3, 3]","[30, 30]"
f8rXEKktSCg_0,0.018726327830037682,0.0028530670470756064,0.03283765434069901,0.07246124740101031,-0.3732809430255404,-0.5705145677144263,0.15763229515900362,845.78049282736,118,392,1,307,509,5,1.0,10,0.3,20,"[3, 3]","[30, 30]"
afU2vHgUvaw_2,0.7509156533887776,0.8796296296296297,0.8081704090560484,0.24780047943337893,0.7592592592592593,0.8557911265758092,0.8639137935679371,444.81507138536034,2,39,285,39,324,5,1.0,10,0.3,20,"[3, 3]","[30, 30]"
ckFwzL1Ot94_0,0.049067452485358036,0.05223880597014925,0.05378315620749332,0.2227057907025973,-0.8722358722358723,0.601290762389546,0.06208233360736329,554.2733308077603,7,381,21,381,407,5,1.0,10,0.3,20,"[3, 3]","[30, 30]"
