"C:\Users\korna\Documents\Учёба\Проектная практика\TrackingOptimization\venv\Scripts\python.exe" "C:/Users/korna/Documents/Учёба/Проектная практика/TrackingOptimization/main.py"
OpenCV v4.1.0

|   iter    |  target   | maxLevel  | maxMed... | points... | termCr... | termCr... |  winSize  | winSiz... |
-------------------------------------------------------------------------------------------------------------
|  1        |  0.4834   |  5.0      |  10.0     |  10.0     |  0.3      |  20.0     |  3.0      |  30.0     |
|  2        |  0.4931   |  9.989    |  11.32    |  16.95    |  0.2324   |  12.5     |  60.16    |  23.02    |
|  3        |  0.4604   |  4.914    |  6.937    |  17.87    |  0.3326   |  37.58    |  8.803    |  75.53    |
|  4        |  0.499    |  6.013    |  15.37    |  12.79    |  0.277    |  23.69    |  68.84    |  84.26    |
|  5        |  0.5142   |  3.059    |  7.874    |  5.405    |  0.2934   |  45.58    |  85.05    |  44.08    |
|  6        |  0.4962   |  2.017    |  15.67    |  9.668    |  0.5044   |  46.34    |  90.54    |  29.91    |
|  7        |  0.4982   |  5.531    |  16.75    |  11.26    |  0.4029   |  24.92    |  68.61    |  85.94    |
|  8        |  0.4937   |  10.0     |  5.0      |  5.0      |  0.15     |  49.68    |  94.95    |  67.0     |
|  9        |  0.4787   |  2.0      |  5.0      |  5.0      |  0.15     |  37.78    |  68.68    |  49.65    |
|  10       |  0.4944   |  3.233    |  5.0      |  5.0      |  0.2889   |  50.0     |  93.88    |  44.81    |
|  11       |  0.4991   |  5.254    |  15.44    |  5.0      |  0.3988   |  45.61    |  84.24    |  43.4     |
|  12       |  0.4857   |  2.0      |  5.0      |  7.291    |  0.2672   |  43.65    |  84.05    |  38.17    |
|  13       |  0.4879   |  3.304    |  9.775    |  10.82    |  0.1685   |  42.75    |  86.6     |  48.06    |
|  14       |  0.5016   |  7.509    |  9.174    |  6.163    |  0.3574   |  46.34    |  88.65    |  44.2     |
|  15       |  0.488    |  7.436    |  11.52    |  6.357    |  0.2819   |  42.85    |  84.02    |  44.76    |
|  16       |  0.4946   |  2.894    |  9.239    |  5.0      |  0.3975   |  48.19    |  86.22    |  44.14    |
|  17       |  0.5037   |  3.807    |  9.032    |  5.413    |  0.358    |  46.04    |  87.67    |  42.29    |
|  18       |  0.5111   |  3.987    |  10.54    |  6.664    |  0.4311   |  46.88    |  82.31    |  43.19    |
|  19       |  0.5089   |  5.376    |  6.202    |  8.86     |  0.4555   |  48.68    |  85.63    |  45.9     |
|  20       |  0.4996   |  2.845    |  6.685    |  5.894    |  0.5116   |  44.33    |  83.07    |  41.51    |
|  21       |  0.5046   |  2.099    |  7.229    |  9.767    |  0.3856   |  45.11    |  82.39    |  43.57    |
|  22       |  0.5035   |  3.755    |  9.303    |  10.42    |  0.5657   |  49.54    |  83.46    |  40.21    |
|  23       |  0.4854   |  7.748    |  6.385    |  8.559    |  0.1725   |  49.38    |  81.62    |  46.32    |
|  24       |  0.4963   |  3.305    |  6.714    |  5.642    |  0.2231   |  49.18    |  84.2     |  41.65    |
|  25       |  0.4894   |  4.764    |  11.93    |  9.432    |  0.1796   |  46.19    |  87.3     |  40.72    |
|  26       |  0.5079   |  7.871    |  9.797    |  8.062    |  0.4567   |  48.58    |  82.72    |  40.62    |
|  27       |  0.4962   |  3.729    |  10.67    |  6.318    |  0.5782   |  44.46    |  84.14    |  43.05    |
|  28       |  0.5029   |  2.194    |  6.713    |  8.466    |  0.2914   |  46.46    |  83.65    |  43.78    |
|  29       |  0.5047   |  6.952    |  6.09     |  7.686    |  0.3471   |  43.27    |  86.75    |  45.27    |
|  30       |  0.4931   |  4.017    |  13.55    |  8.569    |  0.5457   |  48.73    |  83.01    |  42.69    |
|  31       |  0.5021   |  6.169    |  8.065    |  9.609    |  0.4811   |  48.48    |  88.24    |  44.08    |
|  32       |  0.513    |  3.917    |  6.88     |  5.11     |  0.3832   |  45.68    |  82.05    |  45.69    |
|  33       |  0.5017   |  4.593    |  10.89    |  7.316    |  0.3349   |  47.94    |  79.71    |  39.73    |
|  34       |  0.4916   |  4.139    |  5.923    |  9.27     |  0.1668   |  45.86    |  87.18    |  47.02    |
|  35       |  0.4934   |  2.269    |  6.705    |  6.065    |  0.2927   |  46.06    |  81.19    |  49.86    |
|  36       |  0.5016   |  3.113    |  6.37     |  5.085    |  0.3342   |  43.41    |  84.36    |  47.58    |
|  37       |  0.4908   |  3.594    |  6.215    |  10.14    |  0.3717   |  48.14    |  80.56    |  41.65    |
|  38       |  0.5042   |  5.106    |  7.321    |  7.676    |  0.5306   |  42.53    |  82.88    |  45.01    |
|  39       |  0.4894   |  4.375    |  5.899    |  7.595    |  0.1679   |  49.16    |  87.12    |  42.69    |
